,objectid,bezeichnung,nr_stadtbezirk,stadtteil,anzahl,bemerkung,x,y,type
326,345,Schanzenstr. (vor E-Werk),9,Mülheim,1,Schanzenstr. (vor E-Werk),7.016414663132285,50.96926436741302,disabled parking slot
327,346,"Aachener Str., vor Oskar-Jäger-Str. (Melatenfriedhof)",3,Lindenthal,2,"Aachener Str., vor Oskar-Jäger-Str. (Melatenfriedhof)",6.913783239365704,50.93697661098833,disabled parking slot
328,347,Am Sportpark Müngersdorf,3,Müngersdorf,5,ehemals Carl-Diem-Weg,6.870186427424516,50.93464558948469,disabled parking slot
329,348,Euskirchener Str./Blankenheimer Str.,3,Sülz,1,Euskirchener Str./Blankenheimer Str.,6.917661755722251,50.918531895262184,disabled parking slot
330,349,Girlitzweg (S-Bahn Haltestelle),4,Vogelsang,1,Girlitzweg (S-Bahn Haltestelle),6.88754434448929,50.949152857083554,disabled parking slot
331,350,Kerpener Str./Universitätsstr.,3,Lindenthal,2,Kerpener Str./Universitätsstr.,6.928780330710826,50.925478904012024,disabled parking slot
332,351,"Kronstädter Str., gegenüb. 77-101",3,Weiden,1,"Kronstädter Str., gegenüb. 77-101",6.841796542187474,50.93123018089955,disabled parking slot
333,352,Landgrafenstr./Uhlandstr.,3,Lindenthal,1,Landgrafenstr./Uhlandstr.,6.910939710932909,50.92753627542164,disabled parking slot
334,353,Oskar-Jäger-Str./Stolberger Str.,3,Braunsfeld,1,Oskar-Jäger-Str./Stolberger Str.,6.909160993290522,50.941767955706496,disabled parking slot
335,354,Paul-Schällück-Str.,3,Sülz,2,Paul-Schällück-Str.,6.934314949163221,50.92149974291714,disabled parking slot
336,355,"Piusstr.,Eingang Melatenfriedhof",3,Lindenthal,2,"Piusstr.,Eingang Melatenfriedhof",6.922242307567684,50.93911376770089,disabled parking slot
337,356,Stolberger Str./Geilenkircher Str.,3,Braunsfeld,2,Stolberger Str./Geilenkircher Str.,6.895897293113604,50.94203951196718,disabled parking slot
338,357,Sülzburgstr. (vor City-Bank),3,Sülz,1,Sülzburgstr. (vor City-Bank),6.925430664166426,50.9169774559281,disabled parking slot
